LINE ID	QUEST	SCENE	ALIAS	VOICE TYPE	FILENAME	RESPONSE TEXT	SUPPORTING DIALOGUE	EMOTION	SCRIPT NOTES	HEADTRACK TARGET	SCENE PHASE
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048444_4	We fought together many times... But Krev and you decided to follow the dissidents' path.		Sad 70		Fjol	6
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048444_5	Kodlack and I decide to stay.		Sad 70		Fjol	6
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048444_6	He decided join the Circle. He thought it was the right thing to do. 		Sad 70		Fjol	6
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048444_7	You know... Kodlack was searching for a cure. I think he was feeling this vary day was coming...		Sad 70		Fjol	6
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048444_8	It was only a matter of time.		Sad 70		Fjol	6
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048444_9	I will not perpetuate this bloodshed. As the elder Companion member I offer you a peace agreement.		Sad 70		Fjol	6
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048444_10	No more cursed blood among the Companion, no more fight among us and the dissidents. But I have two conditions.		Sad 70		Fjol	6
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__00048446_1		Actually, I did not want to come back either. After so many years in the wilds, I get used to it.	Neutral 50		FakeVignar	8
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__00048446_2		The silence and the solitude of the northern wilds and winds are part of me now.	Neutral 50		FakeVignar	8
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__00048446_3		The vengeance has been made, the cursed blood is no more, and the pride of Ysgramor is restored.	Neutral 50		FakeVignar	8
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__00048446_4		It costed the blood of many generations, and the wounds are deep.  I hope some day they will be closed.	Neutral 50		FakeVignar	8
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048448_1	I hope that too Fjol.		Sad 70		Fjol	9
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048448_2	So that's it. You need to leave as soon as possible...		Sad 70		Fjol	9
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__0004844A_1		We will Vignar. But first wee need to use the Skyforge.	Neutral 50		FakeVignar	10
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__0004844C_1	Do whatenever you want, but do not get attention, and be quick as possible. And do not spill any more blood.		Sad 70		Fjol	11
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__0004844E_1		I promisse I will. 	Neutral 50		FakeVignar	12
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048450_1	Good. Athis, come here.		Neutral 50			13
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeAthis	MaleDarkElf	DSilHand_M80AssaultJor__00048452_1		Yes sir...	Neutral 50		FakeVignar	15
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048454_1	Since Kodlak died, We need a new harbinger. I think it should be you.		Neutral 50			16
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	Fjol	MaleEvenTonedAccented	DSilHand_M80AssaultJor__00048456_1		Vignar, the Companions were meant to be brothers sworn by blood, not by leadership. There should be no harbinger. Not for a long time, at least.	Neutral 50		FakeVignar	17
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048458_1	Hmm, I think you're right. We've seen the secrets that can harm our faction.		Neutral 50			18
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeAthis	MaleDarkElf	DSilHand_M80AssaultJor__0004845A_1		Damn it... I was THIS close.	Anger 50			19
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048F20_1	First, the cursed blood has gone, but we must keep it as a secret. The people here in Whiterun don't need to know the rumors are indeed true.		Sad 70		Fjol	7
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048F20_2	Second: I cannot let you and your group rejoin the Companions. 		Sad 70		Fjol	7
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048F20_3	After all of this bloodshed, your presence would not be tolerated by any of Whiterun's clans.		Sad 70		Fjol	7
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048F20_4	This would escalate to another endless war among our factions once again.		Sad 70		Fjol	7
FFFFFFFF	DSilHand_M80AssaultJor	DSilHand_M80_SceneArmistice2	FakeVignar	MaleOldGrumpy	DSilHand_M80AssaultJor__00048F20_5	You and our group should not come to Whiterun. At least not for a long time, until the wounds are healed... 		Sad 70		Fjol	7
